date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:06	10224/10224	---MC-	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:50:36%20GMT	https://temank3.id/page/cek_qrcode/0332090922	C:/My%20Web%20Sites/personel/temank3.id/page/cek_qrcode/0332090922.html	(from )
19:46:06	1307/1307	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2016%20May%202023%2012:50:36%20GMT	https://temank3.id/robots.txt		(from )
19:46:06	11059/11059	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jun%202022%2003:54:31%20GMT	https://temank3.id/public/images/logo-kemnaker.png	C:/My%20Web%20Sites/personel/temank3.id/public/images/logo-kemnaker.png	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:07	11702/11702	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jan%202022%2007:07:29%20GMT	https://temank3.id/public/themes/website/asset/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/personel/temank3.id/public/themes/website/asset/favicons/apple-touch-icon.png	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:07	1930/1930	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jan%202022%2007:07:29%20GMT	https://temank3.id/public/themes/website/asset/favicons/favicon-32x32.png	C:/My%20Web%20Sites/personel/temank3.id/public/themes/website/asset/favicons/favicon-32x32.png	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:07	1139/1139	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Jan%202022%2007:07:29%20GMT	https://temank3.id/public/themes/website/asset/favicons/favicon-16x16.png	C:/My%20Web%20Sites/personel/temank3.id/public/themes/website/asset/favicons/favicon-16x16.png	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:08	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2260510736-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/personel/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:08	155845/155845	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Jan%202022%2007:07:29%20GMT	https://temank3.id/public/themes/website/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/personel/temank3.id/public/themes/website/dist/css/bootstrap.min.css	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:08	89501/89501	---M--	200	added ('OK')	application/javascript	date:Sat,%2001%20Jan%202022%2007:07:33%20GMT	https://temank3.id/public/themes/adminlte/plugins/jquery/jquery.min.js	C:/My%20Web%20Sites/personel/temank3.id/public/themes/adminlte/plugins/jquery/jquery.min.js	(from https://temank3.id/page/cek_qrcode/0332090922)
19:46:08	34475/34475	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Jan%202022%2007:07:31%20GMT	https://temank3.id/public/themes/adminlte/plugins/sweetalert2-theme-bootstrap-4/bootstrap-4.min.css	C:/My%20Web%20Sites/personel/temank3.id/public/themes/adminlte/plugins/sweetalert2-theme-bootstrap-4/bootstrap-4.min.css	(from https://temank3.id/page/cek_qrcode/0332090922)
